Order,Hand,Top 7.5%,Top 11%,BWay + Aces,Top 27%,Top 20%,Top 15%,Top 36%,Top 3%,Top 5%
1,AA,84.617%,84.765%,85.957%,84.475%,84.565%,85.591%,85.063%,83.430%,84.119%
2,AK,56.130%,58.553%,64.975%,63.776%,61.960%,62.144%,65.856%,42.806%,51.152%
3,AQ,47.776%,53.209%,62.460%,61.068%,58.464%,58.056%,63.123%,32.063%,38.938%
4,AJ,39.461%,47.078%,59.893%,58.542%,55.240%,53.376%,61.109%,29.531%,33.418%
5,AT,35.162%,42.327%,57.321%,56.168%,51.868%,49.288%,59.368%,29.832%,32.144%
6,A9,32.692%,38.619%,52.641%,51.912%,47.907%,44.729%,55.831%,29.178%,29.919%
7,A8,31.901%,37.263%,50.441%,49.915%,45.024%,41.500%,53.702%,29.434%,30.233%
8,A7,31.991%,36.330%,48.331%,47.916%,43.552%,39.668%,51.633%,29.592%,30.339%
9,A6,31.818%,35.532%,46.397%,46.671%,42.505%,38.424%,49.925%,29.324%,30.164%
10,A5,33.166%,36.167%,46.148%,47.007%,42.868%,38.762%,49.705%,30.727%,30.164%
11,A4,32.813%,35.770%,45.090%,46.325%,42.065%,38.113%,48.816%,30.329%,31.140%
12,A3,32.438%,35.445%,44.378%,45.783%,41.375%,37.726%,48.208%,29.929%,30.776%
13,A2,32.072%,35.100%,43.643%,45.234%,40.663%,37.320%,47.602%,29.528%,30.372%
14,KK,70.496%,72.788%,74.912%,76.705%,74.466%,72.281%,76.794%,62.601%,69.019%
15,KQ,37.214%,40.582%,48.794%,52.108%,46.969%,42.538%,53.302%,29.330%,33.230%
16,KJ,34.981%,37.925%,46.769%,49.792%,44.137%,40.324%,51.552%,26.740%,34.595%
17,KT,35.419%,37.099%,44.848%,47.642%,42.419%,39.358%,49.960%,27.225%,33.406%
18,K9,33.574%,35.943%,41.960%,44.486%,40.011%,37.303%,46.736%,26.040%,30.710%
19,K8,31.960%,34.466%,40.645%,42.689%,38.176%,35.715%,44.160%,25.650%,30.145%
20,K7,32.242%,34.401%,40.390%,41.868%,38.427%,36.084%,43.252%,25.907%,30.405%
21,K6,32.366%,33.926%,40.015%,41.568%,38.078%,35.714%,42.566%,25.924%,30.545%
22,K5,32.259%,33.222%,39.363%,40.986%,37.526%,35.057%,41.798%,25.787%,30.392%
23,K4,31.915%,32.896%,38.729%,40.412%,36.853%,34.654%,41.141%,25.373%,30.023%
24,K3,31.545%,32.552%,38.066%,39.859%,36.172%,34.276%,40.541%,24.956%,29.667%
25,K2,31.182%,32.198%,37.395%,39.302%,35.476%,33.893%,39.946%,24.538%,29.272%
26,QQ,62.664%,66.647%,71.140%,71.902%,69.904%,67.660%,72.242%,47.366%,57.891%
27,QJ,34.390%,37.854%,44.655%,46.135%,42.458%,39.866%,47.294%,29.188%,33.334%
28,QT,34.845%,37.036%,42.755%,44.028%,41.850%,39.142%,45.774%,29.434%,32.119%
29,Q9,32.995%,35.855%,40.532%,41.478%,39.420%,37.087%,43.207%,28.506%,29.417%
30,Q8,31.346%,34.291%,39.235%,39.733%,37.738%,35.472%,41.380%,27.713%,28.894%
31,Q7,30.487%,33.073%,37.911%,37.975%,36.886%,34.675%,39.980%,26.741%,27.987%
32,Q6,30.811%,32.815%,37.795%,38.105%,36.788%,34.544%,39.668%,27.067%,28.311%
33,Q5,30.702%,32.110%,37.167%,37.675%,36.262%,33.892%,39.073%,26.959%,28.157%
34,Q4,30.355%,31.811%,36.517%,37.217%,35.590%,33.504%,38.483%,26.582%,27.784%
35,Q3,29.981%,31.463%,35.827%,36.642%,34.905%,33.117%,37.879%,26.202%,27.424%
36,Q2,29.615%,31.105%,35.128%,36.053%,34.201%,32.725%,37.276%,25.820%,27.025%
37,JJ,55.090%,60.874%,67.319%,67.469%,65.695%,63.204%,68.996%,36.585%,50.184%
38,JT,34.701%,37.847%,41.662%,42.025%,41.283%,39.814%,44.445%,28.298%,33.714%
39,J9,32.851%,36.610%,40.055%,40.008%,38.883%,37.765%,42.239%,27.428%,31.245%
40,J8,31.227%,35.117%,38.775%,38.296%,37.396%,36.201%,40.462%,26.679%,30.417%
41,J7,30.284%,33.785%,37.438%,36.683%,36.540%,35.313%,39.193%,25.710%,29.529%
42,J6,29.388%,32.277%,36.149%,35.888%,35.238%,33.926%,37.852%,24.634%,28.630%
43,J5,29.515%,31.852%,35.777%,35.709%,34.962%,33.545%,37.633%,24.834%,28.778%
44,J4,29.168%,31.571%,35.124%,35.258%,34.289%,33.171%,37.045%,24.450%,28.424%
45,J3,28.795%,31.229%,34.419%,34.668%,33.597%,32.788%,36.432%,24.064%,28.081%
46,J2,28.429%,30.879%,33.705%,34.061%,32.884%,32.400%,35.816%,23.675%,27.702%
47,TT,49.716%,56.462%,63.530%,63.196%,65.695%,59.673%,65.658%,33.654%,44.255%
48,T9,34.016%,36.859%,40.498%,39.756%,39.119%,38.393%,41.813%,28.151%,31.140%
49,T8,32.310%,35.369%,39.232%,38.067%,37.834%,36.852%,39.902%,27.543%,30.323%
50,T7,31.341%,34.018%,37.885%,36.573%,36.927%,35.938%,38.749%,26.725%,29.461%
51,T6,30.454%,32.486%,36.556%,35.738%,35.616%,34.530%,37.421%,25.770%,28.564%
52,T5,29.320%,30.779%,34.935%,34.354%,34.113%,32.864%,36.005%,24.508%,27.386%
53,T4,29.268%,30.777%,34.533%,34.145%,33.706%,32.773%,35.659%,24.493%,27.332%
54,T3,28.904%,30.434%,33.827%,33.553%,33.021%,32.392%,35.039%,24.105%,26.985%
55,T2,28.547%,30.082%,33.111%,32.941%,32.311%,32.006%,34.408%,23.714%,26.602%
56,99,44.623%,52.084%,59.731%,58.827%,57.690%,55.723%,61.616%,33.168%,37.462%
57,98,32.572%,36.111%,40.314%,38.632%,38.026%,37.033%,40.140%,28.288%,29.783%
58,97,31.832%,34.954%,39.051%,37.359%,38.006%,36.241%,39.089%,28.021%,29.288%
59,96,31.038%,33.518%,37.755%,36.530%,35.953%,34.878%,37.732%,27.073%,28.502%
60,95,29.916%,31.832%,36.142%,35.132%,34.429%,33.208%,36.289%,25.812%,27.325%
61,94,28.542%,30.548%,34.461%,33.669%,32.757%,31.831%,34.704%,24.309%,25.857%
62,93,28.491%,30.500%,34.069%,33.364%,32.335%,31.724%,34.352%,24.292%,25.835%
63,92,28.135%,30.153%,33.376%,32.766%,31.623%,31.336%,33.726%,23.901%,25.448%
64,88,40.480%,48.873%,57.673%,55.810%,54.486%,52.392%,58.497%,33.281%,35.641%
65,87,32.053%,35.263%,39.773%,37.870%,37.963%,36.606%,39.485%,29.316%,30.073%
66,86,31.337%,33.938%,38.544%,37.108%,36.745%,35.321%,38.252%,28.418%,29.400%
67,85,30.236%,32.247%,36.958%,35.727%,35.240%,33.651%,36.838%,27.164%,28.328%
68,84,28.860%,30.929%,35.290%,34.246%,33.558%,32.243%,35.232%,25.662%,26.930%
69,83,27.426%,29.603%,33.585%,32.666%,31.859%,30.850%,33.596%,24.157%,25.455%
70,82,27.396%,29.554%,33.185%,32.342%,31.442%,30.745%,33.246%,24.137%,25.431%
71,77,38.808%,45.881%,55.589%,53.052%,52.209%,49.634%,55.987%,33.308%,35.550%
72,76,32.047%,34.512%,39.111%,37.750%,37.659%,36.231%,39.052%,29.677%,30.592%
73,75,31.080%,32.871%,37.581%,36.432%,36.206%,34.623%,37.690%,28.473%,29.549%
74,74,29.771%,31.540%,35.942%,34.966%,34.547%,33.211%,36.105%,26.971%,28.156%
75,73,28.384%,30.216%,34.243%,33.370%,32.862%,31.829%,34.478%,25.466%,26.680%
76,72,26.942%,28.856%,32.515%,31.762%,31.153%,30.418%,32.828%,23.959%,25.197%
77,66,38.812%,43.157%,53.623%,51.106%,50.275%,47.296%,53.968%,33.361%,35.667%
78,65,32.387%,33.467%,38.249%,37.460%,36.901%,35.326%,38.433%,29.786%,30.907%
79,64,31.109%,32.160%,36.672%,36.072%,35.285%,33.926%,36.908%,28.283%,29.543%
80,63,29.725%,30.848%,34.967%,34.491%,33.608%,32.553%,35.287%,26.778%,28.072%
